Date,ZINC,TIN,STEEL,NICKEL,MOLYBDENUM,LEAD,COBALT,COPPER,ALUMINIUM
2012-01-03,1826.5,19425,544.5,18427.5,29000,2010.921875,30050,7657.628906,2005.75
2012-01-04,1844.25,19662.5,535,18702.5,29500,2009.40625,31750,7657.492188,2051.5
2012-01-05,1835.25,19412.5,525,18585,30250,2012.4375,32425,7657.765625,2003.25
2012-01-06,1827.25,19747.5,520,18677.5,30300,2006.375,32475,7657.21875,2019.5
2012-01-09,1854.5,20087.5,530,18852.5,30250,2018.5,32050,7658.3125,2061.25
2012-01-10,1912.25,20050,525,19412.5,30250,1994.25,32500,7656.125,2137.5
2012-01-11,1909.75,20275,534.75,19357.5,30250,2042.75,32375,7660.5,2134.25
2012-01-12,1944.5,21087.5,530,19572.5,30250,2015.25,32750,7651.75,2157.25
2012-01-13,1942.5,21087.5,522.5,19627.5,30000,1975.25,33750,7470.5,2109.75
2012-01-16,1947.75,20875,520.25,19267.5,31250,1942.25,33920,7514.5,2120.5
2012-01-17,1999.75,21587.5,527.5,19477.5,30500,1998.5,33750,7502.75,2171.25
2012-01-18,1997.25,21575,527.5,19457.5,30500,1968.25,33900,7640.75,2174.5
2012-01-19,2011.25,21987.5,510,19675,30000,1999.75,34250,7689.25,2180.75
2012-01-20,1995.25,21825,515,20152.5,31000,2003.5,33450,7945.75,2183.5
2012-01-23,2015.25,21932.5,510,20617.5,31000,1988.5,33000,7965.25,2193.25
2012-01-24,2052.25,21857.5,510,20292.5,31000,2045.5,33150,8020.5,2190.25
2012-01-25,2095.25,22000,519.5,20507.5,31000,2091.75,33000,8184.75,2185.75
2012-01-26,2178.25,23327.5,518,21347.5,31000,2131.25,33750,8155.75,2231.75
2012-01-27,2178.25,24307.5,505.5,21667.5,31000,2130.25,33500,8350.25,2241.25
2012-01-30,2095.25,24047.5,510,21367.5,31000,2177.5,33000,8230.25,2210.25
2012-01-31,2125.5,24287.5,505.5,21137.5,31000,2215.75,33250,8332.5,2257.25
2012-02-01,2091.25,24057.5,481,20867.5,31000,2195.5,32500,8266.75,2219.25
2012-02-02,2092.75,24075,485.5,20902.5,31000,2276.75,32750,8270.5,2200.5
2012-02-03,2087.75,23987.5,494,20777.5,31000,2287.5,31250,8557.5,2158.5
2012-02-06,2119.75,24372.5,493.5,21102.5,31000,2237.75,30750,8609.75,2175.25
2012-02-07,2081.75,24225,482.5,21297.5,32100,2250.75,31750,8398.5,2172.5
